iter	RMSE
0	11654.17139
1	11297.57367
2	10962.02832
3	10641.21138
4	10311.90288
5	10001.62806
6	9719.965282
7	9448.488961
8	9183.791195
9	8943.519403
10	8718.685183
11	8487.545168
12	8277.450325
13	8071.685549
14	7882.267937
15	7693.37681
16	7499.553686
17	7339.777376
18	7171.950301
19	7017.641972
20	6882.310409
21	6733.65582
22	6632.941934
23	6494.489427
24	6371.500396
25	6251.125492
26	6146.262559
27	6039.560593
28	5933.01747
29	5836.335851
30	5739.476078
31	5651.906743
32	5574.393481
33	5507.870791
34	5432.444403
35	5359.660579
36	5297.098766
37	5231.077003
38	5183.067107
39	5124.834979
40	5071.38755
41	5022.34072
42	4978.803557
43	4936.240457
44	4897.163539
45	4856.634256
46	4814.22464
47	4777.889402
48	4744.796177
49	4711.267287
50	4689.338025
51	4663.298719
52	4633.442651
53	4604.619417
54	4583.295656
55	4561.762139
56	4537.219224
57	4526.20916
58	4506.247425
59	4492.55689
60	4470.328271
61	4452.138903
62	4441.020476
63	4430.197466
64	4412.577088
65	4398.66115
66	4384.049226
67	4370.201991
68	4356.379802
69	4344.926034
70	4336.096935
71	4323.651304
72	4308.140519
73	4294.319604
74	4288.935244
75	4279.517576
76	4268.149078
77	4262.673394
78	4254.747705
79	4246.751972
80	4237.659934
81	4230.795179
82	4225.51199
83	4215.979455
84	4205.876072
85	4198.772363
86	4192.518314
87	4183.856122
88	4174.947341
89	4168.830936
90	4162.892112
91	4156.469489
92	4149.4142
93	4147.620073
94	4141.963642
95	4136.318397
96	4129.578696
97	4125.156197
98	4121.918896
99	4115.735495
100	4112.410061
101	4107.926561
102	4104.953074
103	4098.138221
104	4091.603575
105	4087.69635
106	4084.653782
107	4081.70848
108	4079.78098
109	4074.398525
110	4069.668539
111	4066.537634
112	4063.415993
113	4059.975527
114	4057.604902
115	4054.413437
116	4051.447728
117	4047.260221
118	4044.481491
119	4041.352299
120	4038.249543
121	4035.009267
122	4030.915962
123	4027.859954
124	4026.587532
125	4022.940034
126	4017.679852
127	4014.026572
128	4011.906726
129	4008.85853
130	4004.361416
131	4000.131635
132	3993.683181
133	3987.9991
134	3985.766082
135	3984.534843
136	3983.208983
137	3977.761045
138	3974.426301
139	3972.067936
140	3967.902449
141	3962.224838
142	3958.980584
